+   plus sign
⥑   up barb left down barb left harpoon
⥒   leftwards harpoon with barb up to bar
⥓   rightwards harpoon with barb up to bar
⥔   upwards harpoon with barb right to bar
⥕   downwards harpoon with barb right to bar
⥖   leftwards harpoon with barb down to bar
⥗   rightwards harpoon with barb down to bar
⥘   upwards harpoon with barb left to bar
⥙   downwards harpoon with barb left to bar
⥚   leftwards harpoon with barb up from bar
⥛   rightwards harpoon with barb up from bar
⥜   upwards harpoon with barb right from bar
⥝   downwards harpoon with barb right from bar
⥞   leftwards harpoon with barb down from bar
⥟   rightwards harpoon with barb down from bar
⥠   upwards harpoon with barb left from bar
⥡   downwards harpoon with barb left from bar
⥢   leftwards harpoon with barb up above leftwards harpoon with barb down
⥣   upwards harpoon with barb left beside upwards harpoon with barb right
⥤   rightwards harpoon with barb up above rightwards harpoon with barb down
⥥   downwards harpoon with barb left beside downwards harpoon with barb right
⥦   leftwards harpoon with barb up above rightwards harpoon with barb up
⥧   leftwards harpoon with barb down above rightwards harpoon with barb down
⥨   rightwards harpoon with barb up above leftwards harpoon with barb up
⥩   rightwards harpoon with barb down above leftwards harpoon with barb down
⥪   leftwards harpoon with barb up above long dash
⥫   leftwards harpoon with barb down below long dash
⥬   rightwards harpoon with barb up above long dash
⥭   rightwards harpoon with barb down below long dash
⥮   upwards harpoon with barb left beside downwards harpoon with barb right
⥯   downwards harpoon with barb left beside upwards harpoon with barb right
⥰   right double arrow with rounded head
⥱   equals sign above rightwards arrow
⥲   tilde operator above rightwards arrow
⥳   leftwards arrow above tilde operator
⥴   rightwards arrow above tilde operator
⥵   rightwards arrow above almost equal to
⥶   less-than above leftwards arrow
⥷   leftwards arrow through less-than
⥸   greater-than above rightwards arrow
⥹   subset above rightwards arrow
⥺   leftwards arrow through subset
⥻   superset above leftwards arrow
⥼   left fish tail
⥽   right fish tail
⥾   up fish tail
⥿   down fish tail
⦀   triple vertical bar delimiter
⦁   z notation spot
⦂   z notation type colon
⦙   dotted fence
⦚   vertical zigzag line
⦛   measured angle opening left
⦜   right angle variant with square
⦝   measured right angle with dot
⦞   angle with s inside
⦟   acute angle
⦠   spherical angle opening left
⦡   spherical angle opening up
⦢   turned angle
⦣   reversed angle
⦤   angle with underbar
⦥   reversed angle with underbar
⦦   oblique angle opening up
⦧   oblique angle opening down
⦨   measured angle with open arm ending in arrow pointing up and right
⦩   measured angle with open arm ending in arrow pointing up and left
⦪   measured angle with open arm ending in arrow pointing down and right
⦫   measured angle with open arm ending in arrow pointing down and left
